Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2,fare_per_miles,cpi_adj,fare_real,fare_lg_real,fare_low_real
2022,1,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",1139,17803,179.83,B6,0.3022,165.12,B6,0.3022,165.12,4119170.0,0.9156,-0.03855,1973783.33333333,0.848399999999999,-0.0558333333333333,0.15788410886742757,99.9999998830022,179.83000021039715,165.12000019318674,165.12000019318674
2022,1,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",372,11272,133.08,WN,0.6098,126.97,WN,0.6098,126.97,2062270.0,0.888139999999999,-0.0548,1969430.0,0.843,-0.0436,0.357741935483871,99.9999998830022,133.08000015570067,126.97000014855209,126.97000014855209
2022,1,31703,31454,"New York City, NY (Metropolitan Area)","Orlando, FL",989,10113,162.02,B6,0.3329,166.58,B6,0.3329,166.58,1973783.33333333,0.848399999999999,-0.0558333333333333,7232690.0,0.9551,-0.0233,0.16382204246713852,99.9999998830022,162.02000018955982,166.58000019489492,166.58000019489492
2022,1,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2510,9590,315.77,UA,0.2788,305.81,B6,0.2585,270.07,2062270.0,0.888139999999999,-0.0548,1973783.33333333,0.848399999999999,-0.0558333333333333,0.12580478087649402,99.9999998830022,315.7700003694439,305.81000035779095,270.0700003159759
2022,1,31703,34027,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1056,5952,218.28,B6,0.4778,213.73,B6,0.4778,213.73,1973783.33333333,0.848399999999999,-0.0558333333333333,1440510.0,0.837,0.1833,0.20670454545454545,99.9999998830022,218.2800002553828,213.73000025005936,213.73000025005936
2022,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,5811,173.99,AS,0.6318,171.05,AS,0.6318,171.05,2062270.0,0.888139999999999,-0.0548,3889610.0,0.4265,-0.0942,0.1779038854805726,99.9999998830022,173.99000020356445,171.05000020012474,171.05000020012474
2022,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,5462,147.5,DL,0.5842,163.69,UA,0.1128,142.41,5324640.0,0.8866,0.1031,1973783.33333333,0.848399999999999,-0.0558333333333333,0.18553459119496854,99.9999998830022,147.50000017257173,163.6900001915137,142.41000016661656
2022,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2619,5420,267.31,UA,0.3641,313.0,AS,0.2133,164.07,1973783.33333333,0.848399999999999,-0.0558333333333333,1969430.0,0.843,-0.0436,0.10206567392134402,99.9999998830022,267.3100003127468,313.0000003662031,164.07000019195826
2022,1,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",773,5357,144.77,UA,0.3579,151.5,AA,0.3392,143.01,3429260.0,0.7898,-0.01385,1973783.33333333,0.848399999999999,-0.0558333333333333,0.18728331177231566,99.9999998830022,144.7700001693777,151.50000017725165,143.01000016731854
2022,1,30977,32467,"Chicago, IL","Miami, FL (Metropolitan Area)",1197,5129,179.46,AA,0.3686,190.94,NK,0.106,127.06,3429260.0,0.7898,-0.01385,4119170.0,0.9156,-0.03855,0.14992481203007518,99.9999998830022,179.46000020996425,190.94000022339557,127.0600001486574
2022,1,32467,30852,"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",946,5022,169.2,WN,0.3262,156.83,B6,0.1251,145.43,4119170.0,0.9156,-0.03855,2001510.0,0.625366666666666,0.0405,0.1788583509513742,99.9999998830022,169.20000019796024,156.83000018348764,145.4300001701499
2022,1,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",370,5021,123.86,WN,0.5912,117.15,WN,0.5912,117.15,2062270.0,0.888139999999999,-0.0548,3088330.0,0.9727,-0.19665,0.33475675675675676,99.9999998830022,123.86000014491346,117.15000013706292,117.15000013706292
2022,1,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",236,5007,118.26,WN,0.6533,120.33,F9,0.029,84.28,6299930.0,0.99,-0.0975,2062270.0,0.888139999999999,-0.0548,0.5011016949152542,99.9999998830022,118.26000013836159,120.33000014078344,84.28000009860574
2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4977,210.83,AA,0.6096,233.37,WN,0.2165,183.34,3003365.0,0.7158,0.04475,2062270.0,0.888139999999999,-0.0548,0.16920545746388443,99.9999998830022,210.83000024666646,233.37000027303773,183.34000021450376
2022,1,30721,32467,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,4763,193.97,B6,0.3922,192.01,B6,0.3922,192.01,1584666.66666666,0.893266666666666,-0.00403333333333333,4119170.0,0.9156,-0.03855,0.1511847233047545,99.9999998830022,193.9700002269406,192.01000022464746,192.01000022464746
2022,1,30977,32575,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",1750,4657,226.11,AA,0.3718,238.21,WN,0.1725,202.74,3429260.0,0.7898,-0.01385,2062270.0,0.888139999999999,-0.0548,0.12920571428571428,99.9999998830022,226.11000026454371,238.21000027870045,202.74000023720131
2022,1,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1055,4567,150.86,UA,0.2802,160.98,B6,0.262,151.17,1973783.33333333,0.848399999999999,-0.0558333333333333,2088435.0,0.95715,-0.26565,0.14299526066350712,99.9999998830022,150.86000017650287,160.98000018834304,151.17000017686556
2022,1,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4477,153.29,WN,0.4844,139.28,WN,0.4844,139.28,6154490.0,0.9555,-0.0282,2062270.0,0.888139999999999,-0.0548,0.177830626450116,99.9999998830022,153.2900001793459,139.2800001629545,139.2800001629545
2022,1,30721,31454,"Boston, MA (Metropolitan Area)","Orlando, FL",1142,4452,203.1,B6,0.3896,226.58,WN,0.186,201.69,1584666.66666666,0.893266666666666,-0.00403333333333333,7232690.0,0.9551,-0.0233,0.17784588441330998,99.9999998830022,203.1000002376225,226.58000026509362,201.69000023597283
2022,1,30977,31454,"Chicago, IL","Orlando, FL",1005,4224,188.39,WN,0.3372,181.26,NK,0.1011,120.42,3429260.0,0.7898,-0.01385,7232690.0,0.9551,-0.0233,0.18745273631840795,99.9999998830022,188.39000022041213,181.2600002120702,120.42000014088875
2022,1,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",787,4205,165.92,WN,0.395,182.43,B6,0.1104,139.32,7232690.0,0.9551,-0.0233,2001510.0,0.625366666666666,0.0405,0.2108259212198221,99.9999998830022,165.9200001941227,182.4300002134391,139.3200001630013
2022,1,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,4083,147.64,DL,0.5042,172.98,WN,0.1427,118.2,5324640.0,0.8866,0.1031,4119170.0,0.9156,-0.03855,0.24855218855218852,99.9999998830022,147.6400001727355,172.98000020238277,118.20000013829139
2022,1,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",414,4063,137.02,WN,0.5922,138.95,AS,0.1413,133.98,6299930.0,0.99,-0.0975,1969430.0,0.843,-0.0436,0.3309661835748792,99.9999998830022,137.0200001603104,138.95000016256841,133.98000015675362
2022,1,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2343,3959,288.45,AA,0.5537,305.28,B6,0.2025,293.73,2062270.0,0.888139999999999,-0.0548,4119170.0,0.9156,-0.03855,0.1231113956466069,99.9999998830022,288.4500003374801,305.2800003571708,293.73000034365765
2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3946,152.73,AA,0.4833,160.73,WN,0.1025,123.45,3003365.0,0.7158,0.04475,1973783.33333333,0.848399999999999,-0.0558333333333333,0.10695378151260504,99.9999998830022,152.73000017869072,160.73000018805052,123.45000014443377
2022,1,30977,30466,"Chicago, IL","Phoenix, AZ",1444,3933,226.18,AA,0.379,245.4,WN,0.3156,207.13,3429260.0,0.7898,-0.01385,3088330.0,0.9727,-0.19665,0.1566343490304709,99.9999998830022,226.18000026462562,245.4000002871126,207.13000024233753
2022,1,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",447,3925,140.83,WN,0.6058,135.97,WN,0.6058,135.97,3011950.0,0.8881,0.0164,1969430.0,0.843,-0.0436,0.31505592841163316,99.9999998830022,140.830000164768,135.9700001590819,135.9700001590819
2022,1,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,3891,126.01,WN,0.8756,123.88,NK,0.024,87.73,2062270.0,0.888139999999999,-0.0548,1546480.0,0.9798,-0.0695,0.3119059405940594,99.9999998830022,126.01000014742893,123.88000014493686,87.73000010264217
2022,1,32575,34614,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",590,3799,174.18,DL,0.6731,191.32,WN,0.2126,130.14,2062270.0,0.888139999999999,-0.0548,2838780.0,0.7884,0.2019,0.29522033898305083,99.9999998830022,174.18000020378676,191.32000022384017,130.1400001522609
2022,1,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2329,3534,260.33,UA,0.3685,273.11,AS,0.1073,223.44,2062270.0,0.888139999999999,-0.0548,2001510.0,0.625366666666666,0.0405,0.11177758694718763,99.9999998830022,260.3300003045803,273.1100003195327,223.44000026141987
