,year,state,NAME,median_household_income,median_household_income_moe,STATE
0,2022,01,Alabama,59674,727,AL
1,2022,02,Alaska,88121,2804,AK
2,2022,04,Arizona,74568,932,AZ
3,2022,05,Arkansas,55432,994,AR
4,2022,06,California,91551,471,CA
5,2022,08,Colorado,89302,1281,CO
6,2022,09,Connecticut,88429,1688,CT
7,2022,10,Delaware,82174,2002,DE
8,2022,11,District of Columbia,101027,2737,DC
9,2022,12,Florida,69303,616,FL
10,2022,13,Georgia,72837,640,GA
11,2022,15,Hawaii,92458,2241,HI
12,2022,16,Idaho,72785,1134,ID
13,2022,17,Illinois,76708,584,IL
14,2022,18,Indiana,66785,659,IN
15,2022,19,Iowa,69588,889,IA
16,2022,20,Kansas,68925,1152,KS
17,2022,21,Kentucky,59341,924,KY
18,2022,22,Louisiana,55416,800,LA
19,2022,23,Maine,69543,1494,ME
20,2022,24,Maryland,94991,1080,MD
21,2022,25,Massachusetts,94488,1260,MA
22,2022,26,Michigan,66986,675,MI
23,2022,27,Minnesota,82338,749,MN
24,2022,28,Mississippi,52719,895,MS
25,2022,29,Missouri,64811,733,MO
26,2022,30,Montana,67631,1496,MT
27,2022,31,Nebraska,69597,1168,NE
28,2022,32,Nevada,72333,1026,NV
29,2022,33,New Hampshire,89992,2310,NH
30,2022,34,New Jersey,96346,1114,NJ
31,2022,35,New Mexico,59726,1306,NM
32,2022,36,New York,79557,722,NY
33,2022,37,North Carolina,67481,623,NC
34,2022,38,North Dakota,71970,2072,ND
35,2022,39,Ohio,65720,618,OH
36,2022,40,Oklahoma,59673,689,OK
37,2022,41,Oregon,75657,1181,OR
38,2022,42,Pennsylvania,71798,557,PA
39,2022,44,Rhode Island,81854,2182,RI
40,2022,45,South Carolina,64115,699,SC
41,2022,46,South Dakota,69728,2128,SD
42,2022,47,Tennessee,65254,848,TN
43,2022,48,Texas,72284,443,TX
44,2022,49,Utah,89168,1807,UT
45,2022,50,Vermont,73991,2209,VT
46,2022,51,Virginia,85873,763,VA
47,2022,53,Washington,91306,841,WA
48,2022,54,West Virginia,54329,1336,WV
49,2022,55,Wisconsin,70996,644,WI
50,2022,56,Wyoming,70042,2867,WY
51,2022,72,Puerto Rico,24112,515,PR
52,2023,01,Alabama,62212,711,AL
53,2023,02,Alaska,86631,2575,AK
54,2023,04,Arizona,77315,931,AZ
55,2023,05,Arkansas,58700,1155,AR
56,2023,06,California,95521,611,CA
57,2023,08,Colorado,92911,1057,CO
58,2023,09,Connecticut,91665,1473,CT
59,2023,10,Delaware,81361,1668,DE
60,2023,11,District of Columbia,108210,6847,DC
61,2023,12,Florida,73311,577,FL
62,2023,13,Georgia,74632,833,GA
63,2023,15,Hawaii,95322,2478,HI
64,2023,16,Idaho,74942,1126,ID
65,2023,17,Illinois,80306,635,IL
66,2023,18,Indiana,69477,808,IN
67,2023,19,Iowa,71433,1135,IA
68,2023,20,Kansas,70333,1182,KS
69,2023,21,Kentucky,61118,653,KY
70,2023,22,Louisiana,58229,1143,LA
71,2023,23,Maine,73733,1699,ME
72,2023,24,Maryland,98678,1292,MD
73,2023,25,Massachusetts,99858,1355,MA
74,2023,26,Michigan,69183,694,MI
75,2023,27,Minnesota,85086,768,MN
76,2023,28,Mississippi,54203,1260,MS
77,2023,29,Missouri,68545,900,MO
78,2023,30,Montana,70804,1475,MT
79,2023,31,Nebraska,74590,1340,NE
80,2023,32,Nevada,76364,1451,NV
81,2023,33,New Hampshire,96838,2243,NH
82,2023,34,New Jersey,99781,1061,NJ
83,2023,35,New Mexico,62268,1281,NM
84,2023,36,New York,82095,500,NY
85,2023,37,North Carolina,70804,547,NC
86,2023,38,North Dakota,76525,1844,ND
87,2023,39,Ohio,67769,731,OH
88,2023,40,Oklahoma,62138,480,OK
89,2023,41,Oregon,80160,1045,OR
90,2023,42,Pennsylvania,73824,511,PA
91,2023,44,Rhode Island,84972,2566,RI
